epoch,ari,nmi,modularity,inference_time_ms,model
1,0.001913517345251248,0.07393272269679402,0.0554859833990559,24.184054717366763,Model_B_Similarity
2,0.003962130674521047,0.08142606865084867,0.056042726739545634,26.35988827778005,Model_B_Similarity
3,0.006386016816145352,0.08357297886960606,0.04300828681216741,22.754736615295236,Model_B_Similarity
4,0.005062184501173151,0.08452018441010972,0.05577256760763485,20.077431597343473,Model_B_Similarity
5,0.009933033374656267,0.08894295137629195,0.05616300759668118,24.046248154539313,Model_B_Similarity
6,0.007347912200477499,0.08999241190608658,0.06494905246025878,21.277820087369317,Model_B_Similarity
7,0.010648214904964417,0.09694446059202283,0.04928061231535916,17.325507691347084,Model_B_Similarity
8,0.012888317206484576,0.1001340240832396,0.06548841167998751,18.219322643832786,Model_B_Similarity
9,0.014080991867735032,0.10596815568101428,0.0714673958947967,16.048763493230485,Model_B_Similarity
10,0.014677300480179406,0.10651830716934305,0.05193008410861509,14.234400538071327,Model_B_Similarity
11,0.016591877749642728,0.11455803954272352,0.05953393189867381,18.052355095063284,Model_B_Similarity
12,0.01780699906534117,0.12159821673900774,0.055686142577919207,19.21883328094026,Model_B_Similarity
13,0.01921063524305579,0.12067371955462944,0.07284474532444353,11.802864852361717,Model_B_Similarity
14,0.022149602097021028,0.12620513516629683,0.0837403380463677,14.92593847338114,Model_B_Similarity
15,0.02315701548596505,0.13107043197513335,0.09301885641676821,11.698714861756347,Model_B_Similarity
16,0.023607090404739347,0.1317963385843425,0.0845927582433582,12.212874616235304,Model_B_Similarity
17,0.026699599875433255,0.13767227744543126,0.10002892436457032,11.80760607576113,Model_B_Similarity
18,0.02760729952087661,0.1410377772023454,0.07895918833428087,11.236009230320184,Model_B_Similarity
19,0.029612862118838963,0.14529302829564653,0.07937294048515876,11.848521627944828,Model_B_Similarity
20,0.03092962884192361,0.14668097064843363,0.09555561840882705,10.669049883588961,Model_B_Similarity
21,0.03097100498907793,0.16814706104555363,0.10207252359151446,11.470456825779838,Model_B_Similarity
22,0.03273981895980303,0.1889879897474727,0.10173844201524726,10.849761890550864,Model_B_Similarity
23,0.035547293605123265,0.21270686164677025,0.088460463199681,10.36105195313359,Model_B_Similarity
24,0.03691037026543347,0.22775562495651122,0.1072870396838977,9.392436337958403,Model_B_Similarity
25,0.037779098406035855,0.25291909474506935,0.10056424399596116,9.423228669431667,Model_B_Similarity
26,0.04646930953323513,0.2533959146226717,0.1193573803906403,10.455391225825755,Model_B_Similarity
27,0.05711065958315371,0.2812339238203241,0.11993278596877478,9.900917187624382,Model_B_Similarity
28,0.05563371444465668,0.29510005203443007,0.11248096170938116,8.122444755201448,Model_B_Similarity
29,0.06618838952468015,0.32513881759930596,0.11888906466130644,8.899332305429226,Model_B_Similarity
30,0.06919122939026442,0.32515021028786906,0.11752629182488838,9.251387123371789,Model_B_Similarity
31,0.07512927518709113,0.3429616689469153,0.12849856722181463,6.5305947188786275,Model_B_Similarity
32,0.08639510740794876,0.36240364412733583,0.13964113856400992,8.443360192379936,Model_B_Similarity
33,0.09130166539595211,0.3712566256541412,0.12711419162931567,6.937376241054154,Model_B_Similarity
34,0.09725403854400255,0.3988454698699155,0.14203237212414277,7.870598668593159,Model_B_Similarity
35,0.10522191522861732,0.41544520403067775,0.13675793905302047,6.236740843457483,Model_B_Similarity
36,0.10608401536653105,0.4389023627188572,0.1454855260128519,6.04755894966774,Model_B_Similarity
37,0.11472781188517987,0.45805053585466293,0.16871563568054532,6.086228781058419,Model_B_Similarity
38,0.11675893297362618,0.4852570250352953,0.1725770921309675,6.87404247333069,Model_B_Similarity
39,0.12529666540995377,0.4977025430291163,0.19335620833583383,6.929861250860741,Model_B_Similarity
40,0.12947942778252927,0.5065385780660255,0.20062546528893385,6.297841687447796,Model_B_Similarity
41,0.1363879838599709,0.5148126826292132,0.2535767015949967,7.019296229388687,Model_B_Similarity
42,0.14438062810174768,0.5379353533720521,0.24542316262366073,5.819239968865521,Model_B_Similarity
43,0.1447271172670661,0.5354381343438349,0.251603293904089,6.566960100676341,Model_B_Similarity
44,0.16236954910274184,0.5726516701268349,0.2775677589288107,5.944491900118772,Model_B_Similarity
45,0.15597593047400118,0.5794355209657703,0.2886520634037101,6.17408194609892,Model_B_Similarity
46,0.1774297366465472,0.5782465947831624,0.30234836480560134,6.473699335658207,Model_B_Similarity
47,0.23789733048200082,0.580294923767273,0.3273700004005211,5.969793317358024,Model_B_Similarity
48,0.26549995232755524,0.6168309789933233,0.34409009252056766,6.157722227885087,Model_B_Similarity
49,0.2954894378046259,0.6170836812379791,0.34363398622867364,6.8031464046072205,Model_B_Similarity
